year,tmID,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,wr,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,dq,Award Count,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,PostthreeRatio,PostfgRatio,PostftRatio,ThreeRatio,fgRatio,ftRatio,coach_wr,coach_pwr
9,CHI,N,863.695,2183.67,452.40000000000003,649.8000000000001,159.465,536.68,359.21000000000004,688.6700000000001,1047.88,516.48,670.6,275.725,525.5550000000001,123.895,2339.255,970.32,2155.1600000000003,541.26,728.0100000000001,198.64,531.325,379.0,858.81,1237.81,619.6850000000001,592.415,260.3,537.635,121.53000000000002,2680.54,0.1695588235294118,23.296489775,11.921138721999998,496.45017221,4540.820100114275,702.427235060487,1455.325163415076,2157.752398475563,1074.0106307540225,500.04494367524995,212.20676435357478,803.8574431575847,975.7725717565561,6.490393120699804,0.1,0.599557593,0.09405128400000003,6.701225092,67.5587026344245,14.534913840027645,22.849282710618418,37.38419655064607,23.38892065029326,2.441313287444789,0.8712833670087483,20.86251402431978,19.592879326772493,0.46996388362090585,0.2079562500000001,1.7977419486900812,2.887497360334626,4.500867062327749,7.36409342351172,13.82340488754345,0.0,0.0
10,CHI,N,866.695925,2176.55805,461.886,663.5870000000001,155.260475,520.0472,359.02215000000007,695.5830500000002,1054.6052000000002,519.1592,667.9140000000001,275.15337500000004,525.5078250000001,126.028925,2350.538325,965.7878000000002,2159.2264000000005,538.2629000000001,721.80415,196.20559999999998,529.3423750000001,377.89500000000004,853.30115,1231.19615,612.146775,599.944725,259.84950000000003,536.3060250000001,121.73995000000002,2666.0441,0.1851463235294118,27.545531636,14.453369268999998,575.700161099,5319.885208193633,656.3851971114342,1641.0317778328215,2297.416974944256,1121.1541240179545,536.7649801754516,319.9936900075788,966.1452370782541,1122.332284180042,8.317937730304052,0.1,0.9433123,0.08675100000000001,10.1016188,82.2805012058197,10.448648483962092,20.962052527010112,31.410701010972204,28.290193752137643,13.84236836507935,0.12296250000000007,18.33000784476886,10.494116686559545,0.0,1.1560702771146267,2.3864269973610552,3.2330094354481598,4.923933301932477,8.631432633635386,14.734203468314494,0.35294117647058826,0.0
2,CLE,Y,809.0,1828.0,426.0,570.0,141.0,407.0,331.0,603.0,934.0,539.0,647.0,259.0,538.0,91.0,2185.0,774.0,1761.0,455.0,583.0,119.0,368.0,277.0,596.0,873.0,540.0,693.0,305.0,552.0,95.0,2122.0,0.53125,24.76923076923077,10.0,483.15384615384613,3821.4613965201465,590.5204395604395,1052.0035393772894,1642.523978937729,788.0710485347985,440.6621749084249,160.72432234432233,823.6793315018315,1145.913585164835,15.165865384615385,0.0,4.384615384615385,1.8461538461538463,81.38461538461539,684.1194444444444,150.54166666666666,264.51666666666665,415.05833333333334,146.43333333333334,102.06111111111112,24.597222222222218,139.11388888888888,192.07222222222222,0.0,2.020405982905983,6.091231992246033,8.911733906525575,5.7799092444496445,7.736733049271118,13.135011319923013,0.53125,0.5
3,CLE,N,805.09,1823.0700000000002,421.41,564.475,138.025,400.88000000000005,328.11,608.015,936.125,535.94,637.225,259.68,530.01,90.32000000000001,2169.6150000000002,764.6500000000001,1759.64,444.205,571.1850000000001,120.105,372.165,278.7,595.83,874.5300000000001,530.99,684.84,298.2,547.24,97.72,2093.61,0.54453125,26.366666666666667,12.866666666666667,576.0777777777778,4678.751152922831,742.8244591618869,1477.0231090289187,2219.8475681908058,978.8713559250419,589.1253355211204,185.88976113083015,917.7566207643,1250.2395667159876,8.479245370370371,0.0,3.122222222222222,1.7,71.13333333333334,583.3760968660969,118.50887075887077,179.590056980057,298.0989277389278,115.58415954415955,72.0777207977208,32.01652421652422,110.81384615384616,160.87589743589743,0.0,3.1435694552361215,8.72510151441451,12.24305645486201,8.705230108294142,8.725065592696515,14.605811663409526,0.640625,0.3833333333333333
4,CLE,Y,801.2573500000001,1822.8090500000003,422.14015000000006,563.499625,136.577875,398.5952000000001,325.29565,613.6237249999999,938.9193750000001,531.1851,631.2558750000001,256.3922,523.2941500000001,89.69780000000002,2161.2327250000003,767.3997500000002,1765.9606000000003,440.19257500000003,566.9192750000001,122.56107500000002,378.015975,278.64050000000003,599.5844500000001,878.22495,530.90585,678.7336,293.423,537.1046,98.67880000000001,2097.55315,0.5248085937500001,23.6007,14.2948,536.3171,4655.664482054668,654.1604483159576,1453.7207730957575,2107.881221411715,1011.8024229044382,491.4406194001007,140.4765253444391,926.3207196313018,1113.5191428978155,14.499648623236476,0.1,0.843,0.42300000000000004,19.034000000000002,234.66326923076926,50.04631803868647,81.24319838056681,131.2895164192533,95.32495051731894,39.58623931623932,8.189764957264957,42.22868983355826,60.442685560053995,0.0,2.108233035483036,2.7756783325344716,6.219741069116071,6.912178646614393,7.549060057498172,13.943409733753265,0.41093750000000007,0.115
4,CON,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.281,17.6386,666.1021000000001,6302.286142358953,887.1979183802254,1734.1251280985489,2621.323046478774,1515.896047490406,918.0138327416283,244.67964726262161,1191.2995671236847,1609.8165817044592,14.20525418361234,0.091,0.23400000000000004,0.23400000000000004,8.313,163.52600000000004,27.30400000000001,47.460000000000015,74.76400000000002,54.41000000000001,18.482000000000006,7.474000000000001,37.07200000000002,46.12600000000002,0.0,0.966646153846154,2.249402754197322,2.5213333333333336,7.368674258437309,10.225375623737643,18.354616906643322,0.0,0.0
5,CON,Y,864.0,2102.0,479.0,646.0,177.0,549.0,333.0,762.0,1095.0,520.0,663.0,270.0,434.0,111.0,2384.0,864.0,2104.0,509.0,673.0,172.0,536.0,366.0,812.0,1178.0,553.0,669.0,252.0,476.0,88.0,2409.0,0.5294117647058824,30.892166666666668,18.593966666666663,741.7037166666665,7526.49660318081,1030.7026808479595,2226.753419312972,3257.4561001609313,1390.9306066758163,854.6035863413546,362.6564225573773,1172.2664375929576,1907.424324005159,22.844779623563753,0.16216666666666665,2.641833333333333,1.4585,60.17266666666666,680.3001477278116,56.53645506929704,204.81736511210624,261.3538201814033,133.94557802011673,61.573130779575244,25.474982008561838,76.93699878514404,169.23640175030297,0.0,3.0569227814416284,7.792217911137388,12.848191640596227,7.973067571736681,10.590536244848208,18.895468458809358,0.5294117647058824,0.5
6,CON,Y,865.0200000000001,2097.665,475.175,641.24,174.62,542.0300000000001,331.98,758.77,1090.75,524.4200000000001,658.495,272.46500000000003,436.38,109.725,2379.835,863.49,2094.82,503.39,666.71,169.70499999999998,523.08,360.9,807.325,1168.2250000000001,554.02,665.43,250.895,477.36,90.12500000000001,2400.0750000000003,0.5294117647058824,30.9647,17.63561,689.3422,6355.427315477398,827.4586838561311,2056.499950640215,2883.958634496346,1514.359572731711,781.9839290364278,438.83695054681846,1265.8221703025652,1664.8468865898133,9.38410130990545,0.0,5.357139999999999,2.98214,124.40624,1252.903200627276,146.2029159213709,351.3694907501359,497.5724066715068,298.26042230726114,165.20482613897335,49.65649051546686,214.84169708148994,294.0365711907315,0.09315000000000004,5.310587237014952,7.515744035190201,13.163905763285834,5.980893533993621,9.048448427021206,15.960674574446141,0.5294117647058824,0.5875
7,CON,Y,869.3533000000001,2091.488475,478.30512500000003,645.2146,170.8273,527.6624500000001,331.1317,761.25455,1092.38625,528.5493000000001,655.562925,269.36547500000006,437.70770000000005,111.448375,2387.839025,861.06835,2095.2603,499.02185000000003,660.95465,165.650075,512.6182000000001,359.9735,800.5823750000001,1160.5558750000002,549.0033,666.2434499999999,251.498925,474.3544,89.17937500000002,2386.8086250000006,0.5494117647058824,26.15741,16.484282999999998,594.77986,6528.53524606693,766.3583523836609,1903.6283309192215,2669.9866833028823,1442.1552893538942,659.3283075459387,330.86236283036607,1097.4653887250226,1363.550778368107,4.398049649317367,0.06999999999999999,5.793142,3.561642,139.742872,1504.703835433644,183.0690145931988,456.12084818063613,639.1898627738349,280.28580618586477,155.23850729946307,87.48282740884096,245.33181096246557,314.14326043740346,0.02794500000000002,6.158171189169322,7.382407071425497,12.599888134027461,6.580959900093832,8.491429213703574,15.698886938867437,0.6941176470588234,0.61375
8,CON,Y,878.9282695000002,2102.071954625,483.97418937500004,647.746359,171.0969795,526.1611417500002,332.05550550000004,775.2579132500001,1107.31341875,537.1726095000001,644.8900763749999,267.88940962500004,444.19254550000005,114.980263125,2412.927707875,868.4575402500001,2117.5081744999998,487.0349927500001,647.27350475,165.42481862499997,512.2256530000001,360.8257525,799.087873125,1159.9136256250003,547.2180195,664.52275675,253.32651637500004,475.34427600000004,90.35412812500002,2389.3748918750007,0.5677117647058825,27.402778274000003,14.890729417,563.840857255,5376.6649595301915,626.1169124397558,1721.9800852638152,2348.0969977035707,1290.8029998467794,553.1853935561533,309.8500938270067,926.4306900606322,1122.6354611898907,0.3655760014660162,0.06999999999999999,4.11991699,2.1723139,84.81505499,792.2737104803749,113.3458895090699,248.36494392543756,361.71083343450744,178.52089809213163,81.88570637824002,56.50645672554283,161.06153533310942,169.81181346773434,0.008383500000000007,3.5736187231051857,5.21091069551324,10.474403821439676,7.096084751054545,8.293472274127602,14.71582604965738,0.7435294117647058,0.604125
