year,tmID,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,wr,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,dq,Award Count,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,PostthreeRatio,PostfgRatio,PostftRatio,ThreeRatio,fgRatio,ftRatio,coach_wr,coach_pwr
5,CON,Y,864.0,2102.0,479.0,646.0,177.0,549.0,333.0,762.0,1095.0,520.0,663.0,270.0,434.0,111.0,2384.0,864.0,2104.0,509.0,673.0,172.0,536.0,366.0,812.0,1178.0,553.0,669.0,252.0,476.0,88.0,2409.0,0.5294117647058824,31.157552083333332,18.450520833333332,741.900390625,7565.249117903244,1021.8680438500536,2222.5316080084053,3244.3996518584586,1381.1834186150325,833.5727720746773,365.1100871880399,1161.4910356249457,1899.7986352124462,23.200247195098612,0.1640625,2.7473958333333335,1.5390625,62.921875,700.1231313384998,57.24355147340221,209.74086717853046,266.9844186519327,135.1223994211634,63.37513713483863,26.324532585470084,78.67928685897435,171.45000358783008,0.0,3.033758012820513,7.874610556015263,13.170291202307132,7.985354279226537,10.46239461769603,18.699985141266783,0.5294117647058824,0.5
6,CON,Y,873.0,2063.75,445.25,604.0,156.0,487.5,324.0,733.5,1057.5,559.0,623.25,291.75,455.0,99.75,2347.25,859.5,2023.0,459.5,617.5,151.75,422.0,321.0,770.75,1091.75,562.0,637.5,242.25,488.0,106.75,2330.25,0.5294117647058824,31.0609375,17.697265625,692.828125,6391.41023868232,831.4543232951852,2063.7132757514273,2895.1675990466124,1529.3524844382657,792.9081103020969,432.542588482668,1270.438150886374,1670.389572593463,8.754949004923866,0.0,5.484375,3.078125,128.165625,1287.2488755509823,152.18993314789003,361.19925847196083,513.3891916198509,303.51781084961436,172.00177691606817,49.880099084495384,222.61263741621815,300.43385604310413,0.05390625,5.415160077768283,7.579092998279435,13.250536844393233,5.986539555839811,9.064346775368048,15.971741993546534,0.5294117647058824,0.59375
7,CON,Y,905.25,2034.6875,495.3125,667.0,136.5,401.625,322.5,774.375,1096.875,569.5,623.8125,249.9375,452.75,122.4375,2442.3125,841.125,2080.75,453.875,603.625,129.4375,405.5,342.75,738.6875,1081.4375,511.75,665.625,254.0625,453.5,85.9375,2265.5625,0.7058823529411764,26.052734375,16.54619140625,593.72890625,6565.8349956856055,768.5854316334558,1904.6572014995297,2673.2426331329852,1445.7159650114231,657.3458160471129,323.3573354639832,1091.6886557065704,1356.1275961481656,4.050723825706377,0.075,5.82109375,3.63828125,141.59765625,1536.0554223479253,187.99788844391037,467.9118139621668,655.9097024060773,280.7939716512109,156.64526584016807,90.44450399918303,249.58624919738244,318.8949756203642,0.0134765625,6.254569172546153,7.448444627788024,12.69273697215063,6.611608749269248,8.482100032012331,15.67950247356816,0.7058823529411764,0.6171875
8,CON,Y,962.8125,2170.671875,532.578125,673.0,164.625,482.90625,337.125,888.09375,1225.21875,614.875,553.453125,251.484375,498.6875,145.359375,2622.828125,921.28125,2287.9375,381.96875,525.90625,154.609375,482.375,363.1875,771.921875,1135.109375,523.9375,650.90625,268.265625,477.875,98.734375,2379.140625,0.75,27.533270263671874,14.969715881347657,565.526872253418,5379.5457617152,631.5804465284542,1737.4724814101482,2369.0529279386024,1289.2326363160778,552.1829851598796,312.7554022713101,922.3184803209184,1116.3792298567498,0.21516892080582,0.075,4.063067626953125,2.1423095703125,83.29175415039063,772.7725044712244,114.10526147705461,246.76936117155373,360.87462264860835,174.07830164175985,79.07253740366407,57.12077593179604,159.114135826474,165.64141517253458,0.003369140625,3.472157748345982,5.1740318497164495,10.498000302734347,7.074620529715833,8.302558099511463,14.738360587936063,0.75,0.604296875
9,CON,Y,991.453125,2287.91796875,491.64453125,629.5,187.40625,549.7265625,349.78125,873.0234375,1222.8046875,617.96875,619.11328125,266.87109375,529.671875,153.33984375,2661.95703125,962.3203125,2309.734375,451.7421875,600.9765625,163.15234375,484.34375,343.546875,824.48046875,1168.02734375,566.734375,637.4765625,251.56640625,512.46875,88.43359375,2539.53515625,0.5845588235294118,31.657052176339285,17.758013044084823,709.5593000139509,7045.927573279231,807.568593003806,2005.8038604828464,2813.372453486652,1749.1420719265282,709.5194790668664,168.0168203410038,1392.1277582905275,1512.7047904341491,9.550674550540895,0.0,3.093967982700893,1.0569981166294642,79.78766741071429,907.6235024791561,70.97930377151484,275.9442364757065,346.92354024722135,205.95924494542507,46.35595405642274,18.19403393243215,173.516427240335,196.2741961887415,0.8320742168181585,9.206496660358178,7.5456943334501565,12.915568564745351,6.155753832514996,9.316357773999945,17.271181927765344,0.5845588235294118,0.40107421875
10,CON,N,971.61328125,2286.4794921875,527.1611328125,699.625,212.6015625,639.181640625,364.9453125,870.005859375,1234.951171875,609.7421875,626.5283203125,224.9677734375,497.66796875,111.0849609375,2682.9892578125,956.830078125,2290.43359375,466.935546875,628.744140625,160.0380859375,493.0859375,355.88671875,836.1201171875,1192.0068359375,557.18359375,686.619140625,251.8916015625,502.3671875,100.1083984375,2540.6337890625,0.609375,30.608805847167968,18.335948181152343,665.8362121582031,6526.332995627492,751.2750375340255,1858.9119148168418,2610.1869523508676,1490.8564105621765,538.3901434899202,228.34579615767197,1157.8281615550563,1454.8557394115173,9.080332129557148,0.0,3.111283874511719,1.5029190063476563,61.58696746826172,537.0346264193665,77.33327464417923,162.5062704029973,239.83954504717653,112.35685882354706,46.901038578201124,10.636748116433097,105.90847399960539,118.07588574466789,0.14561298794317773,4.545996510206658,6.9031553585636045,13.744897615504517,6.949532384760015,8.831805018442582,16.139921322464623,0.609375,0.3502685546875
2,DET,N,868.0,1980.0,519.0,699.0,76.0,273.0,341.0,644.0,985.0,503.0,701.0,260.0,530.0,88.0,2331.0,905.0,1967.0,480.0,652.0,136.0,372.0,331.0,640.0,971.0,513.0,672.0,284.0,543.0,148.0,2426.0,0.4375,28.571428571428573,21.428571428571427,688.5714285714286,6569.736734693878,953.2521683673469,1763.339668367347,2716.5918367346935,1340.5530612244897,647.4029336734694,214.65867346938776,1354.080357142857,1676.7602040816325,8.160714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7634429994824017,10.064385985195363,16.97427918132714,0.0,0.0
3,DET,N,797.5,1930.5,438.75,581.25,126.25,372.0,328.25,626.75,955.0,477.5,626.75,233.75,506.0,83.5,2160.0,862.25,1869.5,454.5,600.25,129.25,348.0,292.0,686.5,978.5,456.75,611.25,267.5,498.0,118.75,2308.25,0.34375,25.775,12.05,545.125,4445.493955357409,667.1669284820128,1306.5911591151084,1973.7580875971212,918.0969444171781,454.7125627754543,163.06209549423372,975.4159487967432,1212.8421176798674,7.094027551938621,0.0,0.05,0.0,0.075,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.375,0.375,0.0,5.095272404453402,8.035745166986784,14.784949317678649,0.3125,0.0
4,DET,Y,773.875,1921.875,463.6875,633.5625,114.0625,366.0,352.0625,695.9375,1048.0,477.875,613.4375,209.1875,532.25,119.875,2125.5,836.5625,1955.375,461.625,603.8125,141.8125,422.25,308.5,673.375,981.875,462.9375,630.5625,274.625,456.75,133.9375,2276.5625,0.296875,26.47159090909091,15.818181818181818,615.5909090909091,5176.18899055134,782.7625301298932,1606.4049980593163,2389.16752818921,1096.8336568203229,558.0385324799532,364.63631222119034,1263.2080828911544,1428.8560126542532,7.804097162489203,0.0,0.16477272727272727,0.16477272727272727,5.568181818181818,333.2904411764706,31.685049019607845,102.75122549019608,134.43627450980392,40.220588235294116,31.21936274509804,24.28921568627451,35.533088235294116,87.59191176470588,0.0,1.7463235294117647,3.642830076109391,5.473023090815273,5.171850934706244,8.635780372868703,16.491457840460406,0.4090909090909091,0.0
5,DET,Y,869.96875,1983.46875,583.921875,819.890625,122.265625,333.75,372.265625,812.234375,1184.5,528.21875,607.109375,249.546875,589.0625,148.46875,2446.125,892.390625,2203.34375,424.40625,567.953125,156.203125,511.3125,369.625,673.84375,1043.46875,493.734375,738.140625,300.40625,486.9375,130.234375,2365.390625,0.6256893382352942,30.8859375,19.342578125,719.9390625,6679.336069659791,1030.8510603082102,2402.574149873789,3433.4252101819993,1494.1457015215335,703.7685102128852,449.63418945296945,1502.3419480481866,1669.3356315047756,8.661664102421621,0.175,4.3671875,3.2421875,115.96875,1875.5000383031374,307.84877061445826,644.2492317038308,952.098002318289,459.353095407197,143.2646247632576,128.8639678030303,325.0800082189823,462.1989831242853,0.0,3.4691177692819153,9.011273355831154,18.179237967667397,6.559304805007272,9.926761824500828,16.521873131096747,0.6537433155080214,0.5625
